0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:29:06 +0530] "GET /Ebook-App/Book/harrypotter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:29:06 +0530] "GET /Ebook-App/view_books.jsp?bid=2 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:29:06 +0530] "GET /Ebook-App/view_books.jsp?bid=2 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:29:07 +0530] "GET /Ebook-App/view_books.jsp?bid=2 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:29:07 +0530] "GET /Ebook-App/view_books.jsp?bid=2 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:29:07 +0530] "GET /Ebook-App/view_books.jsp?bid=2 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:29:09 +0530] "GET /Ebook-App/view_books.jsp?bid=2 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:29:09 +0530] "GET /Ebook-App/Book/harrypotter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:29:27 +0530] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 7995
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:29:29 +0530] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 8742
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:29:30 +0530] "GET /Ebook-App/helpline.jsp HTTP/1.1" 200 7161
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:29:32 +0530] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 8742
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:29:35 +0530] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 7995
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:30:33 +0530] "GET /Ebook-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:30:33 +0530] "GET /Ebook-App/login.jsp HTTP/1.1" 200 6087
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:30:36 +0530] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:30:36 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 7858
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:30:38 +0530] "GET /Ebook-App/admin/orders.jsp HTTP/1.1" 200 6001
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:32:03 +0530] "GET /Ebook-App/admin/orders.jsp HTTP/1.1" 200 6001
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:32:06 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:32:06 +0530] "GET /Ebook-App/Book/harrypotter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:32:17 +0530] "GET /Ebook-App/admin/add_books.jsp HTTP/1.1" 200 7491
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:32:26 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:33:40 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:33:40 +0530] "GET /Ebook-App/Book/harrypotter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:33:41 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:33:41 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:33:42 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:33:42 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:33:42 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:33:42 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:33:42 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:33:43 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:33:52 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 7859
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:33:52 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 7859
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:33:52 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 7859
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:33:52 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 7859
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:34:02 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 7858
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:34:02 +0530] "GET /Ebook-App/admin/home.jsp HTTP/1.1" 200 7858
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:34:04 +0530] "GET /Ebook-App/admin/all_books.jsp HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:34:09 +0530] "GET /Ebook-App/admin/orders.jsp HTTP/1.1" 200 6001
0:0:0:0:0:0:0:1 - - [16/Sep/2025:09:34:39 +0530] "GET /Ebook-App/admin/orders.jsp HTTP/1.1" 200 6001
